idsbr,latitude,longitude,geocode_status,geom_wkt
14382936,0.5303520,108.9168000,0,"POINT(108.9168 0.530352)"
14383108,0.2928470,109.0362000,0,"POINT(109.0362 0.292847)"
14383118,0.3629980,108.9600000,0,"POINT(108.96 0.362998)"
14383436,0.3627400,108.9597000,0,"POINT(108.9597 0.36274)"
14383454,0.3376300,109.1871000,0,"POINT(109.1871 0.33763)"
14385583,0.3520550,108.9601000,0,"POINT(108.9601 0.352055)"
14386342,0.0195940,109.2903000,0,"POINT(109.2903 0.019594)"
15218465,0.2814789,109.0744900,0,"POINT(109.07449 0.2814789)"
14386633,0.3604730,109.1661000,0,"POINT(109.1661 0.360473)"
14386952,0.5190220,108.9323000,0,"POINT(108.9323 0.519022)"
14387058,0.3595000,109.1682000,0,"POINT(109.1682 0.3595)"
14387512,0.2979730,109.1136000,0,"POINT(109.1136 0.297973)"
14387747,0.2493410,109.1003000,0,"POINT(109.1003 0.249341)"
14389763,0.0938460,109.1858000,0,"POINT(109.1858 0.093846)"
14389775,0.0938170,109.1857000,0,"POINT(109.1857 0.093817)"
14389972,0.4397070,109.2002000,0,"POINT(109.2002 0.439707)"
14390789,0.3228020,108.9727000,0,"POINT(108.9727 0.322802)"
14390823,0.2795440,109.0745000,0,"POINT(109.0745 0.279544)"
14392150,0.3751690,108.9673000,0,"POINT(108.9673 0.375169)"
17448096,0.3812730,108.9483000,0,"POINT(108.9483 0.381273)"
14392205,0.3753540,108.9674000,0,"POINT(108.9674 0.375354)"
14392238,0.3752850,108.9673000,0,"POINT(108.9673 0.375285)"
14392277,0.3315240,109.2491000,0,"POINT(109.2491 0.331524)"
14392801,0.1954810,109.2240000,0,"POINT(109.224 0.195481)"
14393064,0.4302590,109.2696000,0,"POINT(109.2696 0.430259)"
14393135,0.1789770,109.2134000,0,"POINT(109.2134 0.178977)"
14393242,0.2825690,109.0708000,0,"POINT(109.0708 0.282569)"
14393334,0.3584960,108.9872000,0,"POINT(108.9872 0.358496)"
14394473,0.2908670,109.1048000,0,"POINT(109.1048 0.290867)"
14394489,0.2925220,109.1033000,0,"POINT(109.1033 0.292522)"
14394696,0.4912110,108.9451000,0,"POINT(108.9451 0.491211)"
14394831,0.3339870,109.2501000,0,"POINT(109.2501 0.333987)"
14395143,0.3613480,109.1641000,0,"POINT(109.1641 0.361348)"
14395169,0.0252560,109.2603000,0,"POINT(109.2603 0.025256)"
14396110,0.2616660,109.0967000,0,"POINT(109.0967 0.261666)"
14396852,0.1958050,109.1519000,0,"POINT(109.1519 0.195805)"
14396972,0.5025250,108.9117000,0,"POINT(108.9117 0.502525)"
14397029,0.3492930,109.2780000,0,"POINT(109.278 0.349293)"
14397207,0.0659860,109.2050000,0,"POINT(109.205 0.065986)"
14397287,0.2751000,109.0695000,0,"POINT(109.0695 0.2751)"
14398480,0.1768380,109.1562000,0,"POINT(109.1562 0.176838)"
14398872,0.5268730,108.9187000,0,"POINT(108.9187 0.526873)"
14399093,0.4510170,108.9388000,0,"POINT(108.9388 0.451017)"
14399419,0.0195920,109.2744000,0,"POINT(109.2744 0.019592)"
14399630,0.0881010,109.1806000,0,"POINT(109.1806 0.088101)"
14400163,0.0438980,109.2311000,0,"POINT(109.2311 0.043898)"
14400206,0.0714130,109.2001000,0,"POINT(109.2001 0.071413)"
14400466,0.3542330,108.9713000,0,"POINT(108.9713 0.354233)"
14400556,0.0253400,109.2599000,0,"POINT(109.2599 0.02534)"
14400584,0.3575590,108.9592000,0,"POINT(108.9592 0.357559)"
14400931,0.3434560,109.2852000,0,"POINT(109.2852 0.343456)"
14401295,0.4182950,108.9775000,0,"POINT(108.9775 0.418295)"
14401353,0.3569430,109.2749000,0,"POINT(109.2749 0.356943)"
14401742,0.3634080,108.9621000,0,"POINT(108.9621 0.363408)"
14401880,0.2121500,109.1463000,0,"POINT(109.1463 0.21215)"
14401893,0.4153650,109.2330000,0,"POINT(109.233 0.415365)"
14402438,0.0621330,109.2036000,0,"POINT(109.2036 0.062133)"
