kk,gid,ikn,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,idsubsls,kdsubsls,nm_gedung,wil_campur
,"617389","0",,1.23052602442674,,"61041010040007","04","101","0007",MEMPAWAH,MEMPAWAH TIMUR,RT 007 RW 04 DUSUN TENGAH,,"004","61",,,PASIR PALEMBANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104101004000700","00",,
,"617388","0",,6.54661683038414,,"61041200090010","04","120","0010",MEMPAWAH,TOHO,RT 010 RW 03 DUSUN BONSORAN,,"009","61",,,TOHO ILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104120009001000","00",,
,"617387","0",,0.734900940796971,,"61040900010005","04","090","0005",MEMPAWAH,SUNGAI PINYUH,RT 005 RW 03 DUSUN KARYA,,"001","61",,,SUNGAI PURUN KECIL,KALIMANTAN BARAT,,,,,,2024_1,,"6104090001000500","00",,
,"617386","0",,2.44805408581126,,"61040800060003","04","080","0003",MEMPAWAH,JONGKAT,RT 003 RW 01 DUSUN KARYA BHAKTI,,"006","61",,,PENITI LUAR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080006000300","00",,
,"617385","0",,4.13628710589728,,"61041210030009","04","121","0009",MEMPAWAH,SADANIANG,RT 008 RW 03 DUSUN BAWING,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003000900","00",,
,"617384","0",,3.2141565990167,,"61041210030012","04","121","0012",MEMPAWAH,SADANIANG,RT 010 RW 04 DUSUN NANGKA,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003001200","00",,
,"617383","0",,2.50236514241486,,"61040910060014","04","091","0014",MEMPAWAH,ANJONGAN,RT 014 RW 04 DUSUN KEPAYANG,,"006","61",,,KEPAYANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104091006001400","00",,
,"617382","0",,8.39479964882488,,"61041100090010","04","110","0010",MEMPAWAH,SUNGAI KUNYIT,RT 010 RW 03 DUSUN KEMBANG LADA,,"009","61",,,BUKIT BATU,KALIMANTAN BARAT,,,,,,2024_1,,"6104110009001000","00",,
,"617381","0",,1.55626424566983,,"61041000010006","04","100","0006",MEMPAWAH,MEMPAWAH HILIR,RT 06 RW 03,,"001","61",,,TANJUNG,KALIMANTAN BARAT,,,,,,2024_1,,"6104100001000600","00",,
,"617380","0",,0.603744491695445,,"61040810030020","04","081","0020",MEMPAWAH,JONGKAT,RT 020 RW 08 DUSUN PELITA,,"003","61",,,SUNGAI PURUN BESAR,KALIMANTAN BARAT,,,,,,2024_1,,"6104081003002000","00",,
,"617378","0",,1.50951360572226,,"61040910060015","04","091","0015",MEMPAWAH,ANJONGAN,RT 015 RW 04 DUSUN KEPAYANG,,"006","61",,,KEPAYANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104091006001500","00",,
,"617377","0",,10.2569282196599,,"61041210061003","04","121","1003",MEMPAWAH,SADANIANG,HUTAN,,"006","61",,,SUAK BARANGAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121006100300","00",,
,"617376","0",,0.662113213175099,,"61040800030030","04","080","0030",MEMPAWAH,JONGKAT,RT 003 RW 03 DUSUN COKLAT,,"003","61",,,WAJOK HILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080003003000","00",,
,"617375","0",,0.136524307355639,,"61041210012004","04","121","2004",MEMPAWAH,SADANIANG,HUTAN,,"001","61",,,PENTEK,KALIMANTAN BARAT,,,,,,2024_1,,"6104121001200400","00",,
,"617374","0",,0.523516226207138,,"61041000150012","04","100","0012",MEMPAWAH,MEMPAWAH HILIR,RT 12 RW 05 DUSUN PINANG,,"015","61",,,MALIKIAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104100015001200","00",,
,"617373","0",,1.32995148048103,,"61041200060006","04","120","0006",MEMPAWAH,TOHO,RT 006 RW 02 DUSUN LAHENG,,"006","61",,,PAK LAHENG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120006000600","00",,
